estado;sigla;regiao;cidade;populacao;pib;pib_percapita
ACRE;AC;NORTE;MARECHAL THAUMATURGO;14275;109181.8671875;7648.47021484
ACRE;AC;NORTE;SENADOR GUIOMARD;19697;217153.859375;11024.71972656
ACRE;AC;NORTE;ASSIS BRASIL;5662;48347.30078125;8538.91015625
ACRE;AC;NORTE;EPITACIOLÂNDIA;14224;129641.09375;9114.25
ACRE;AC;NORTE;MANOEL URBANO;7505;61478.73046875;8191.70019531
ACRE;AC;NORTE;TARAUACÁ;33883;258505.0625;7629.33984375
ACRE;AC;NORTE;MÂNCIO LIMA;14774;103294.7421875;6991.66015625
ACRE;AC;NORTE;PLÁCIDO DE CASTRO;18235;204410.5625;11209.79003906
ACRE;AC;NORTE;SANTA ROSA DO PURUS;4358;28091.17382812;6445.89013672
ACRE;AC;NORTE;CRUZEIRO DO SUL;77004;684349.25;8887.19042969
ACRE;AC;NORTE;FEIJÓ;32261;239317.046875;7418.14990234
ACRE;AC;NORTE;SENA MADUREIRA;36166;371556.0625;10273.62988281
ACRE;AC;NORTE;CAPIXABA;9287;89052.6796875;9588.95996094
ACRE;AC;NORTE;RIO BRANCO;305954;3837370.75;12542.30957031
ACRE;AC;NORTE;BRASILÉIA;20238;194979.828125;9634.33984375
ACRE;AC;NORTE;ACRELÂNDIA;12241;151120.015625;12345.40039062
ACRE;AC;NORTE;PORTO ACRE;14682;160340.78125;10920.91015625
ACRE;AC;NORTE;BUJARI;6772;88708.03125;13099.24023438
ACRE;AC;NORTE;PORTO WALTER;8855;64432.35546875;7276.37988281
ACRE;AC;NORTE;RODRIGUES ALVES;13460;153169.609375;11379.61035156
ACRE;AC;NORTE;XAPURI;15079;150262.34375;9965.00976562
ACRE;AC;NORTE;JORDÃO;6520;41673.13671875;6391.58984375
ALAGOAS;AL;NORDESTE;DOIS RIACHOS;11200;35078.25390625;3131.98999023
ALAGOAS;AL;NORDESTE;BELÉM;5083;19550.015625;3846.15991211
ALAGOAS;AL;NORDESTE;SANTANA DO MUNDAÚ;12039;52134.53515625;4330.47021484
ALAGOAS;AL;NORDESTE;CAMPO ALEGRE;47209;182361.03125;3862.84008789
ALAGOAS;AL;NORDESTE;PASSO DE CAMARAGIBE;14261;59784.6875;4192.18017578
ALAGOAS;AL;NORDESTE;MARECHAL DEODORO;47623;620477.5;13028.95019531
ALAGOAS;AL;NORDESTE;SÃO MIGUEL DOS MILAGRES;7601;29789.48828125;3919.14990234
ALAGOAS;AL;NORDESTE;OLHO D'ÁGUA DO CASADO;8517;27759.3671875;3259.29003906
ALAGOAS;AL;NORDESTE;PAULO JACINTO;7772;24402.88085938;3139.85009766
ALAGOAS;AL;NORDESTE;PILAR;32655;174139.0625;5332.68994141
