estado;cidade;populacao;pib;pib_percapita
BAHIA;TREMEDAL;18433;57883.9921875;3140.23999023
RIO GRANDE DO SUL;TURUÇU;4000;45723.875;11430.96972656
ESPIRITO SANTO;VITÓRIA;320156;19782628.0;61790.58984375
MINAS GERAIS;JACUTINGA;21424;247816.0;11567.20996094
PIAUÍ;NAZÁRIA;7895;20951.38085938;2653.75
MINAS GERAIS;PEDRA AZUL;26000;187523.671875;7212.45019531
PIAUÍ;TERESINA;802537;8700461.0;10841.20019531
PIAUÍ;AMARANTE;17892;65322.88671875;3650.94995117
GOIÁS;MATRINCHÃ;4420;45910.546875;10387.0
PERNAMBUCO;CACHOEIRINHA;18123;80433.8046875;4438.22021484
PARÁ;AFUÁ;32633;100038.40625;3065.56005859
PERNAMBUCO;FERNANDO DE NORONHA;3108;26980.71484375;8681.04980469
RIO GRANDE DO SUL;FREDERICO WESTPHALEN;28428;490769.53125;17263.59960938
SERGIPE;AMPARO DE SÃO FRANCISCO;2268;12769.73339844;5630.39013672
SÃO PAULO;ITAPEVA;89768;1120700.0;12484.40039062
PARAÍBA;BAYEUX;96198;604882.125;6287.89013672
TOCANTINS;ANANÁS;9514;59541.40625;6258.29003906
MINAS GERAIS;SANTO ANTÔNIO DO RETIRO;7087;25568.890625;3607.86010742
PARAÍBA;SERRA BRANCA;12816;62123.3359375;4847.33007812
AMAZONAS;ENVIRA;17614;69843.03125;3965.19995117
TOCANTINS;OLIVEIRA DE FÁTIMA;1129;11591.94921875;10267.45019531
SÃO PAULO;ELISIÁRIO;3317;52295.234375;15765.8203125
SANTA CATARINA;OTACÍLIO COSTA;16587;364577.8125;21979.73046875
MINAS GERAIS;SERICITA;7345;39047.0703125;5316.14013672
MINAS GERAIS;DIAMANTINA;46372;287632.03125;6202.70996094
BAHIA;MAETINGA;7884;23558.44726562;2988.12988281
CEARÁ;IRACEMA;15114;62552.0234375;4138.68017578
RORAIMA;SÃO JOÃO DA BALIZA;6028;59372.453125;9849.45019531
RIO GRANDE DO SUL;PAULO BENTO;2149;37882.76953125;17628.08984375
PERNAMBUCO;ALAGOINHA;14913;57886.21484375;3881.59008789
PIAUÍ;INHUMA;15490;62012.0234375;4003.36010742
MARANHÃO;JOSELÂNDIA;16188;60842.48046875;3758.48999023
RIO DE JANEIRO;ITAGUAÍ;105633;3008327.25;28479.05078125
MINAS GERAIS;CEDRO DO ABAETÉ;1221;10221.85644531;8371.70996094
RIO GRANDE DO SUL;CACEQUI;13578;174171.703125;12827.49023438
PERNAMBUCO;BARRA DE GUABIRABA;13623;46595.87109375;3420.37988281
BAHIA;IBIRAPUÃ;7893;74997.40625;9501.75976562
PARAÍBA;BERNARDINO BATISTA;3315;11964.66210938;3609.25
PARAÍBA;LAGOA;4949;19203.7109375;3880.32006836
MATO GROSSO;NOVO HORIZONTE DO NORTE;3970;32778.5078125;8256.54980469
