date,location,population,total,one_shot,two_shots,three_shots,month,year
2021-01-01,Brazil,215313504,,,,,2021-01,2021
2021-01-02,Brazil,215313504,,,,,2021-01,2021
2021-01-03,Brazil,215313504,,,,,2021-01,2021
2021-01-04,Brazil,215313504,,,,,2021-01,2021
2021-01-05,Brazil,215313504,,,,,2021-01,2021
2021-01-06,Brazil,215313504,,,,,2021-01,2021
2021-01-07,Brazil,215313504,,,,,2021-01,2021
2021-01-08,Brazil,215313504,,,,,2021-01,2021
2021-01-09,Brazil,215313504,,,,,2021-01,2021
2021-01-10,Brazil,215313504,,,,,2021-01,2021
2021-01-11,Brazil,215313504,,,,,2021-01,2021
2021-01-12,Brazil,215313504,,,,,2021-01,2021
2021-01-13,Brazil,215313504,,,,,2021-01,2021
2021-01-14,Brazil,215313504,,,,,2021-01,2021
2021-01-15,Brazil,215313504,,,,,2021-01,2021
2021-01-16,Brazil,215313504,,,,,2021-01,2021
2021-01-17,Brazil,215313504,112,0,,,2021-01,2021
2021-01-18,Brazil,215313504,1109,1,,,2021-01,2021
2021-01-19,Brazil,215313504,13527,6,,,2021-01,2021
2021-01-20,Brazil,215313504,105824,49,,,2021-01,2021
2021-01-21,Brazil,215313504,193699,90,,,2021-01,2021
2021-01-22,Brazil,215313504,462269,215,,,2021-01,2021
2021-01-23,Brazil,215313504,573268,266,,,2021-01,2021
2021-01-24,Brazil,215313504,613954,285,,,2021-01,2021
2021-01-25,Brazil,215313504,801759,372,,,2021-01,2021
2021-01-26,Brazil,215313504,1045746,486,,,2021-01,2021
2021-01-27,Brazil,215313504,1327546,617,,,2021-01,2021
2021-01-28,Brazil,215313504,1563098,726,,,2021-01,2021
2021-01-29,Brazil,215313504,1923813,893,,,2021-01,2021
2021-01-30,Brazil,215313504,2046523,950,,,2021-01,2021
2021-01-31,Brazil,215313504,2084119,968,,,2021-01,2021
2021-02-01,Brazil,215313504,2292551,1065,,,2021-02,2021
2021-02-02,Brazil,215313504,2521704,1171,,,2021-02,2021
2021-02-03,Brazil,215313504,2802134,1301,,,2021-02,2021
2021-02-04,Brazil,215313504,3074906,1428,,,2021-02,2021
2021-02-05,Brazil,215313504,3401383,1579,1,,2021-02,2021
2021-02-06,Brazil,215313504,3553681,1641,9,,2021-02,2021
2021-02-07,Brazil,215313504,3605538,1663,12,,2021-02,2021
2021-02-08,Brazil,215313504,3820207,1759,16,,2021-02,2021
2021-02-09,Brazil,215313504,4120332,1890,24,,2021-02,2021
2021-02-10,Brazil,215313504,4406835,2009,38,,2021-02,2021
2021-02-11,Brazil,215313504,4696136,2130,51,,2021-02,2021
2021-02-12,Brazil,215313504,5125206,2297,83,,2021-02,2021
2021-02-13,Brazil,215313504,5236943,2342,90,,2021-02,2021
2021-02-14,Brazil,215313504,5293979,2358,101,,2021-02,2021
2021-02-15,Brazil,215313504,5609937,2473,133,,2021-02,2021
2021-02-16,Brazil,215313504,5883539,2474,259,,2021-02,2021
2021-02-17,Brazil,215313504,6206680,2546,336,,2021-02,2021
2021-02-18,Brazil,215313504,6535156,2620,416,,2021-02,2021
2021-02-19,Brazil,215313504,6813168,2673,491,,2021-02,2021
2021-02-20,Brazil,215313504,6950802,2702,526,,2021-02,2021
2021-02-21,Brazil,215313504,7028356,2720,544,,2021-02,2021
2021-02-22,Brazil,215313504,7297061,2788,601,,2021-02,2021
2021-02-23,Brazil,215313504,7551676,2841,667,,2021-02,2021
2021-02-24,Brazil,215313504,7799000,2880,742,,2021-02,2021
2021-02-25,Brazil,215313504,8101787,2948,815,,2021-02,2021
2021-02-26,Brazil,215313504,8322042,2990,875,,2021-02,2021
2021-02-27,Brazil,215313504,8433568,3028,889,,2021-02,2021
2021-02-28,Brazil,215313504,8465403,3038,893,,2021-02,2021
2021-03-01,Brazil,215313504,8841027,3161,945,,2021-03,2021
2021-03-02,Brazil,215313504,9277322,3304,1005,,2021-03,2021
2021-03-03,Brazil,215313504,9739676,3445,1078,,2021-03,2021
2021-03-04,Brazil,215313504,10169160,3577,1146,,2021-03,2021
2021-03-05,Brazil,215313504,10576542,3696,1216,,2021-03,2021
2021-03-06,Brazil,215313504,10830688,3781,1249,,2021-03,2021
2021-03-07,Brazil,215313504,10948409,3821,1264,,2021-03,2021
2021-03-08,Brazil,215313504,11357494,3950,1325,,2021-03,2021
